출처,접수번호,성명,생년월일,생년월일_원본,성별,성별_원본,연락처,연락처_원본,최종학력,자격증,시험지역,시험장,시험일자,시험일자_원본,교시_원본,수수료,감면유형,감면유형_원본,감면금액,최종결제금액,결제수단,결제수단_원본,결제상태,결제상태_원본,접수상태,접수상태_원본,접수일시,접수일시_원본,사용맥락,등급,시험유형,회차,시험구분,응시자격유형,시험연도,차수,1차합격여부,시험과목,교육기관,교육수료번호,교육수료일,교육수료일_원본,교육이수시간,사진검증,확인필요
국가기술,DN2026827843,안정자,1954-06-01,1954-06-01,여,여,010-7827-4788,010-7827-4788,고등학교졸업,한식조리기능사,충남,천안시험장,2026-09-22,2026-09-22,4,14500,차상위계층,차상위계층,7250,7250,신용카드,신용카드,완료,완료,접수완료,접수완료,2026-08-17 17:12,2026-08-17 17:12:00,본인단독,기능사,상시CBT,,필기,경력,,,,,,,,,,,
국가기술,DN2026556827,민운순,1956-09-26,1956-09-26,여,여,010-5710-4281,010-5710-4281,전문대졸,굴착기운전기능사,경북,포항시험장,2026-11-14,2026-11-14,3,14500,없음,없음,0,14500,신용카드,신용카드,완료,완료,접수완료,접수완료,2026-08-02 09:26,2026-08-02 09:26:00,가족보조,기능사,상시CBT,,필기,관련학과졸업,,,,,,,,,,,
국가기술,DN2026277665,남영자,1929-10-10,1929-10-10,여,여,010-3104-3140,010-3104-3140,대학교졸,굴착기운전기능사,울산,울산시험장,2026-10-13,2026-10-13,4,14500,차상위계층,차상위계층,7250,7250,신용카드,신용카드,완료,완료,접수완료,접수완료,2026-08-06 14:16,2026-08-06 14:16:00,본인단독,기능사,상시CBT,,필기,비전공자,,,,,,,,,,,
국가기술,DN2026482211,곽영숙,1942-03-27,1942-03-27,여,여,010-2881-6402,010-2881-6402,전문대졸,전기기능사,경남,창원시험장,2026-09-18,2026-09-18,1,14500,없음,없음,0,14500,계좌이체,계좌이체,완료,완료,접수완료,접수완료,2026-08-18 13:40,2026-08-18 13:40:00,본인단독,기능사,정기,1,필기,경력,,,,,,,,,,,
국가기술,DN2026792220,류미자,1956-03-19,1956-03-19,여,여,010-8193-1942,010-8193-1942,전문대졸,전기기능사,부산,부산남부시험장,2026-10-17,2026-10-17,2,14500,없음,없음,0,14500,신용카드,신용카드,완료,완료,접수완료,접수완료,2026-08-06 13:17,2026-08-06 13:17:00,복지관,기능사,정기,4,필기,관련학과졸업,,,,,,,,,,,
국가기술,DN2026143606,임점순,1954-09-06,1954-09-06,여,여,010-2417-1542,010-2417-1542,전문대졸,한식조리기능사,충남,천안시험장,2026-09-24,2026-09-24,4,14500,없음,없음,0,14500,신용카드,신용카드,완료,완료,접수완료,접수완료,2026-08-08 18:38,2026-08-08 18:38:00,복지관,기능사,상시CBT,,필기,비전공자,,,,,,,,,,,
국가기술,DN2026674131,곽두만,1963-06-26,1963-06-26,남,남,010-1205-4786,010-1205-4786,고등학교졸업,한식조리기능사,전남,순천시험장,2026-11-04,2026-11-04,1,14500,없음,없음,0,14500,계좌이체,계좌이체,완료,완료,접수완료,접수완료,2026-08-08 18:28,2026-08-08 18:28:00,복지관,기능사,상시CBT,,필기,비전공자,,,,,,,,,,,
국가기술,DN2026021371,전용기,1956-03-25,1956-03-25,남,남,010-3174-1184,010-3174-1184,대학교졸,굴착기운전기능사,경북,포항시험장,2026-11-02,2026-11-02,3,14500,없음,없음,0,14500,신용카드,신용카드,완료,완료,접수완료,접수완료,2026-08-16 15:51,2026-08-16 15:51:00,본인단독,기능사,상시CBT,,필기,비전공자,,,,,,,,,,,
국가기술,DN2026639918,권재호,1928-11-11,1928-11-11,남,남,010-3469-1303,010-3469-1303,전문대졸,전기기능사,충북,청주시험장,2026-09-13,2026-09-13,4,14500,장애인,장애인,7250,7250,신용카드,신용카드,완료,완료,접수완료,접수완료,2026-08-08 11:33,2026-08-08 11:33:00,가족보조,기능사,정기,3,필기,비전공자,,,,,,,,,,,
국가기술,DN2026944317,오삼석,1950-03-27,1950-03-27,남,남,010-5922-2003,010-5922-2003,대학원졸,한식조리기능사,인천,인천시험장,2026-09-27,2026-09-27,2,14500,없음,없음,0,14500,계좌이체,계좌이체,완료,완료,접수완료,접수완료,2026-08-14 11:00,2026-08-14 11:00:00,복지관,기능사,상시CBT,,필기,경력,,,,,,,,,,,
국가기술,DN2026526346,한상원,1938-02-06,1938-02-06,남,남,010-8940-4414,010-8940-4414,전문대졸,지게차운전기능사,세종,세종시험장,2026-10-20,2026-10-20,4,14500,없음,없음,0,14500,계좌이체,계좌이체,완료,완료,접수완료,접수완료,2026-08-06 11:30,2026-08-06 11:30:00,복지관,기능사,상시CBT,,필기,관련학과졸업,,,,,,,,,,,
국가기술,DN2026441448,배병수,1950-03-21,1950-03-21,남,남,010-2187-4958,010-2187-4958,중학교졸업,한식조리기능사,제주,제주시험장,2026-11-08,2026-11-08,3,14500,없음,없음,0,14500,신용카드,신용카드,완료,완료,접수완료,접수완료,2026-08-04 21:40,2026-08-04 21:40:00,본인단독,기능사,상시CBT,,필기,비전공자,,,,,,,,,,,
국가기술,DN2026556076,류태호,1946-04-02,1946-04-02,남,남,010-6972-2869,010-6972-2869,중학교졸업,전기기능사,강원,춘천시험장,2026-11-09,2026-11-09,3,14500,없음,없음,0,14500,계좌이체,계좌이체,완료,완료,접수완료,접수완료,2026-08-07 16:03,2026-08-07 16:03:00,본인단독,기능사,정기,4,필기,관련학과졸업,,,,,,,,,,,
국가기술,DN2026160893,정영숙,1928-02-27,1928-02-27,여,여,010-1475-3882,010-1475-3882,중학교졸업,한식조리기능사,전북,전주시험장,2026-10-13,2026-10-13,5,14500,없음,없음,0,14500,신용카드,신용카드,완료,완료,접수완료,접수완료,2026-08-03 19:00,2026-08-03 19:00:00,가족보조,기능사,상시CBT,,필기,경력,,,,,,,,,,,
국가기술,DN2026675935,안영수,1961-12-28,1961-12-28,남,남,010-6650-2911,010-6650-2911,중학교졸업,지게차운전기능사,충남,천안시험장,2026-10-25,2026-10-25,1,14500,없음,없음,0,14500,가상계좌,가상계좌,완료,완료,접수완료,접수완료,2026-08-08 13:20,2026-08-08 13:20:00,복지관,기능사,상시CBT,,필기,관련학과졸업,,,,,,,,,,,
국가기술,DN2026779831,안동석,1947-10-20,1947-10-20,남,남,010-7282-2998,010-7282-2998,전문대졸,한식조리기능사,세종,세종시험장,2026-10-17,2026-10-17,4,14500,없음,없음,0,14500,계좌이체,계좌이체,완료,완료,접수완료,접수완료,2026-08-15 15:50,2026-08-15 15:50:00,가족보조,기능사,상시CBT,,필기,경력,,,,,,,,,,,
국가기술,DN2026354933,구동석,1932-02-10,1932-02-10,남,남,010-1325-1779,010-1325-1779,고등학교졸업,지게차운전기능사,전북,전주시험장,2026-10-15,2026-10-15,2,14500,없음,없음,0,14500,가상계좌,가상계좌,완료,완료,접수완료,접수완료,2026-08-07 15:56,2026-08-07 15:56:00,복지관,기능사,상시CBT,,필기,비전공자,,,,,,,,,,,
국가기술,DN2026858735,류용기,1946-04-07,1946-04-07,남,남,010-7805-2715,010-7805-2715,고등학교졸업,한식조리기능사,인천,인천시험장,2026-10-06,2026-10-06,4,14500,차상위계층,차상위계층,7250,7250,신용카드,신용카드,완료,완료,접수완료,접수완료,2026-08-04 10:17,2026-08-04 10:17:00,복지관,기능사,상시CBT,,필기,관련학과졸업,,,,,,,,,,,
국가기술,DN2026134670,류말자,1956-05-24,1956-05-24,여,여,010-8935-4563,010-8935-4563,대학교졸,한식조리기능사,인천,인천시험장,2026-09-09,2026-09-09,3,14500,없음,없음,0,14500,계좌이체,계좌이체,완료,완료,접수완료,접수완료,2026-08-09 17:16,2026-08-09 17:16:00,복지관,기능사,상시CBT,,필기,비전공자,,,,,,,,,,,
국가기술,DN2026541114,정상원,1957-04-11,1957-04-11,남,남,010-8127-3368,010-8127-3368,고등학교졸업,전기기능사,제주,제주시험장,2026-09-20,2026-09-20,4,14500,장애인,장애인,7250,7250,계좌이체,계좌이체,완료,완료,접수완료,접수완료,2026-08-03 09:27,2026-08-03 09:27:00,본인단독,기능사,정기,3,필기,비전공자,,,,,,,,,,,
국가기술,DN2026742470,전미자,1961-01-07,1961-01-07,여,여,010-4112-2458,010-4112-2458,고등학교졸업,전기기능사,대구,대구시험장,2026-09-05,2026-09-05,2,14500,없음,없음,0,14500,신용카드,신용카드,완료,완료,접수완료,접수완료,2026-08-11 17:02,2026-08-11 17:02:00,가족보조,기능사,정기,3,필기,관련학과졸업,,,,,,,,,,,
국가기술,DN2026958328,권선옥,1944-04-12,1944-04-12,여,여,010-9570-7957,010-9570-7957,전문대졸,전기기능사,광주,광주시험장,2026-11-18,2026-11-18,3,14500,없음,없음,0,14500,계좌이체,계좌이체,환불,환불,취소,취소,2026-08-17 22:51,2026-08-17 22:51:00,복지관,기능사,정기,2,필기,비전공자,,,,,,,,,,,
국가기술,DN2026706334,차명자,1928-10-12,1928-10-12,여,여,010-6946-3834,010-6946-3834,고등학교졸업,한식조리기능사,광주,광주시험장,2026-09-18,2026-09-18,1,14500,없음,없음,0,14500,계좌이체,계좌이체,완료,완료,접수완료,접수완료,2026-08-10 09:42,2026-08-10 09:42:00,가족보조,기능사,상시CBT,,필기,비전공자,,,,,,,,,,,
국가기술,DN2026620881,손복순,1956-01-06,1956-01-06,여,여,010-2721-4338,010-2721-4338,대학원졸,한식조리기능사,대구,대구시험장,2026-11-18,2026-11-18,2,14500,없음,없음,0,14500,신용카드,신용카드,완료,완료,접수완료,접수완료,2026-08-04 09:23,2026-08-04 09:23:00,가족보조,기능사,상시CBT,,필기,경력,,,,,,,,,,,
국가기술,DN2026882212,장명자,1929-02-20,1929-02-20,여,여,010-1443-9980,010-1443-9980,고등학교졸업,지게차운전기능사,강원,춘천시험장,2026-09-05,2026-09-05,2,14500,없음,없음,0,14500,신용카드,신용카드,완료,완료,접수완료,접수완료,2026-08-17 17:08,2026-08-17 17:08:00,가족보조,기능사,상시CBT,,필기,경력,,,,,,,,,,,
국가기술,DN2026524066,전경자,1942-02-27,1942-02-27,여,여,010-9314-1620,010-9314-1620,초등학교졸업,전기기능사,충남,천안시험장,2026-09-16,2026-09-16,5,14500,기초생활수급자,기초생활수급자,7250,7250,가상계좌,가상계좌,완료,완료,접수완료,접수완료,2026-08-12 21:47,2026-08-12 21:47:00,복지관,기능사,정기,1,필기,경력,,,,,,,,,,,
국가기술,DN2026666364,김태호,1953-12-24,1953-12-24,남,남,010-1731-4607,010-1731-4607,중학교졸업,한식조리기능사,서울,서울2시험장,2026-11-25,2026-11-25,4,14500,없음,없음,0,14500,신용카드,신용카드,완료,완료,접수완료,접수완료,2026-08-05 22:58,2026-08-05 22:58:00,복지관,기능사,상시CBT,,필기,비전공자,,,,,,,,,,,
국가기술,DN2026412566,양운순,1928-01-25,1928-01-25,여,여,010-9163-3231,010-9163-3231,중학교졸업,한식조리기능사,부산,부산남부시험장,2026-09-22,2026-09-22,2,14500,없음,없음,0,14500,계좌이체,계좌이체,완료,완료,접수완료,접수완료,2026-08-02 21:21,2026-08-02 21:21:00,복지관,기능사,상시CBT,,필기,경력,,,,,,,,,,,
국가기술,DN2026741436,백갑순,1954-11-14,1954-11-14,여,여,010-5264-5969,010-5264-5969,고등학교졸업,지게차운전기능사,경기,수원시험장,2026-10-27,2026-10-27,2,14500,없음,없음,0,14500,계좌이체,계좌이체,완료,완료,접수완료,접수완료,2026-08-01 20:16,2026-08-01 20:16:00,본인단독,기능사,상시CBT,,필기,비전공자,,,,,,,,,,,
국가기술,DN2026927176,안정호,1965-03-17,1965-03-17,남,남,010-3718-1099,010-3718-1099,중학교졸업,굴착기운전기능사,세종,세종시험장,2026-10-12,2026-10-12,4,14500,없음,없음,0,14500,신용카드,신용카드,완료,완료,접수완료,접수완료,2026-08-16 19:20,2026-08-16 19:20:00,복지관,기능사,상시CBT,,필기,경력,,,,,,,,,,,
국가기술,DN2026489781,신병수,1957-12-20,1957-12-20,남,남,010-2928-7500,010-2928-7500,대학원졸,한식조리기능사,부산,부산남부시험장,2026-11-05,2026-11-05,5,14500,없음,없음,0,14500,신용카드,신용카드,완료,완료,접수완료,접수완료,2026-08-07 20:04,2026-08-07 20:04:00,본인단독,기능사,상시CBT,,필기,경력,,,,,,,,,,,
국가기술,DN2026062428,최동석,1951-07-06,1951-07-06,남,남,010-8712-7221,010-8712-7221,중학교졸업,굴착기운전기능사,세종,세종시험장,2026-09-11,2026-09-11,4,14500,국가유공자,국가유공자,7250,7250,신용카드,신용카드,완료,완료,접수완료,접수완료,2026-08-01 11:41,2026-08-01 11:41:00,복지관,기능사,상시CBT,,필기,경력,,,,,,,,,,,
국가기술,DN2026506968,유봉숙,1939-06-09,1939-06-09,여,여,010-4002-8448,010-4002-8448,전문대졸,지게차운전기능사,대전,대전시험장,2026-10-23,2026-10-23,5,14500,없음,없음,0,14500,계좌이체,계좌이체,완료,완료,접수완료,접수완료,2026-08-18 16:39,2026-08-18 16:39:00,가족보조,기능사,상시CBT,,필기,경력,,,,,,,,,,,
국가기술,DN2026764521,서철수,1937-04-04,1937-04-04,남,남,010-2994-9975,010-2994-9975,고등학교졸업,전기기능사,충남,천안시험장,2026-10-11,2026-10-11,2,14500,없음,없음,0,14500,계좌이체,계좌이체,완료,완료,접수완료,접수완료,2026-08-07 11:14,2026-08-07 11:14:00,가족보조,기능사,정기,1,필기,관련학과졸업,,,,,,,,,,,
국가기술,DN2026789949,김용기,1963-01-25,1963-01-25,남,남,010-8557-5331,010-8557-5331,고등학교졸업,한식조리기능사,울산,울산시험장,2026-11-07,2026-11-07,3,14500,없음,없음,0,14500,가상계좌,가상계좌,완료,완료,접수완료,접수완료,2026-08-11 12:18,2026-08-11 12:18:00,본인단독,기능사,상시CBT,,필기,경력,,,,,,,,,,,
국가기술,DN2026386709,고미자,1929-01-27,1929-01-27,여,여,010-8714-6476,010-8714-6476,전문대졸,한식조리기능사,울산,울산시험장,2026-10-25,2026-10-25,4,14500,국가유공자,국가유공자,7250,7250,계좌이체,계좌이체,완료,완료,접수완료,접수완료,2026-08-01 16:01,2026-08-01 16:01:00,가족보조,기능사,상시CBT,,필기,비전공자,,,,,,,,,,,
국가기술,DN2026706857,송영수,1965-07-23,1965-07-23,남,남,010-5346-7391,010-5346-7391,중학교졸업,한식조리기능사,충남,천안시험장,2026-10-12,2026-10-12,3,14500,없음,없음,0,14500,계좌이체,계좌이체,완료,완료,접수완료,접수완료,2026-08-18 10:05,2026-08-18 10:05:00,복지관,기능사,상시CBT,,필기,관련학과졸업,,,,,,,,,,,
국가기술,DN2026056321,장점순,1961-11-07,1961-11-07,여,여,010-5115-7497,010-5115-7497,중학교졸업,한식조리기능사,인천,인천시험장,2026-10-08,2026-10-08,1,14500,없음,없음,0,14500,가상계좌,가상계좌,환불,환불,취소,취소,2026-08-11 12:24,2026-08-11 12:24:00,가족보조,기능사,상시CBT,,필기,비전공자,,,,,,,,,,,
국가기술,DN2026492108,임순자,1955-03-23,1955-03-23,여,여,010-3242-5712,010-3242-5712,전문대졸,지게차운전기능사,서울,서울남부시험장,2026-09-10,2026-09-10,3,14500,없음,없음,0,14500,신용카드,신용카드,대기,대기,결제대기,결제대기,2026-08-08 09:15,2026-08-08 09:15:00,가족보조,기능사,상시CBT,,필기,비전공자,,,,,,,,,,,
국가기술,DN2026403144,양정순,1928-02-26,1928-02-26,여,여,010-4812-4517,010-4812-4517,대학교졸,굴착기운전기능사,대전,대전시험장,2026-11-07,2026-11-07,4,14500,없음,없음,0,14500,신용카드,신용카드,완료,완료,접수완료,접수완료,2026-08-07 16:14,2026-08-07 16:14:00,가족보조,기능사,상시CBT,,필기,비전공자,,,,,,,,,,,
국가기술,DN2026207514,송만복,1945-08-26,1945-08-26,남,남,010-1241-2158,010-1241-2158,초등학교졸업,지게차운전기능사,울산,울산시험장,2026-11-02,2026-11-02,2,14500,없음,없음,0,14500,신용카드,신용카드,완료,완료,접수완료,접수완료,2026-08-03 10:05,2026-08-03 10:05:00,본인단독,기능사,상시CBT,,필기,관련학과졸업,,,,,,,,,,,
국가기술,DN2026537477,남영자,1943-06-06,1943-06-06,여,여,010-2248-6807,010-2248-6807,중학교졸업,굴착기운전기능사,경북,포항시험장,2026-10-06,2026-10-06,3,14500,없음,없음,0,14500,계좌이체,계좌이체,완료,완료,접수완료,접수완료,2026-08-07 19:12,2026-08-07 19:12:00,본인단독,기능사,상시CBT,,필기,경력,,,,,,,,,,,
국가기술,DN2026035334,한금순,1951-10-15,1951-10-15,여,여,010-2952-3993,010-2952-3993,중학교졸업,지게차운전기능사,인천,인천시험장,2026-10-24,2026-10-24,4,14500,기초생활수급자,기초생활수급자,7250,7250,계좌이체,계좌이체,완료,완료,접수완료,접수완료,2026-08-19 22:16,2026-08-19 22:16:00,본인단독,기능사,상시CBT,,필기,관련학과졸업,,,,,,,,,,,
국가기술,DN2026544233,유철수,1933-09-01,1933-09-01,남,남,010-8613-9802,010-8613-9802,고등학교졸업,한식조리기능사,경북,포항시험장,2026-11-19,2026-11-19,2,14500,없음,없음,0,14500,계좌이체,계좌이체,대기,대기,결제대기,결제대기,2026-08-04 11:04,2026-08-04 11:04:00,복지관,기능사,상시CBT,,필기,경력,,,,,,,,,,,
국가기술,DN2026403866,오일남,1951-09-05,1951-09-05,남,남,010-6918-1856,010-6918-1856,초등학교졸업,한식조리기능사,제주,제주시험장,2026-10-26,2026-10-26,5,14500,장애인,장애인,7250,7250,계좌이체,계좌이체,완료,완료,접수완료,접수완료,2026-08-12 11:09,2026-08-12 11:09:00,복지관,기능사,상시CBT,,필기,관련학과졸업,,,,,,,,,,,
국가기술,DN2026531770,우춘희,1937-03-11,1937-03-11,여,여,010-8904-3050,010-8904-3050,고등학교졸업,한식조리기능사,충남,천안시험장,2026-10-09,2026-10-09,3,14500,없음,없음,0,14500,신용카드,신용카드,완료,완료,접수완료,접수완료,2026-08-06 12:59,2026-08-06 12:59:00,복지관,기능사,상시CBT,,필기,비전공자,,,,,,,,,,,
국가기술,DN2026562748,송점순,1933-08-09,1933-08-09,여,여,010-2476-3277,010-2476-3277,고등학교졸업,굴착기운전기능사,서울,서울2시험장,2026-10-25,2026-10-25,5,14500,없음,없음,0,14500,계좌이체,계좌이체,완료,완료,접수완료,접수완료,2026-08-18 14:12,2026-08-18 14:12:00,본인단독,기능사,상시CBT,,필기,비전공자,,,,,,,,,,,
국가기술,DN2026544933,노영호,1960-08-04,1960-08-04,남,남,010-2373-8454,010-2373-8454,고등학교졸업,굴착기운전기능사,전남,순천시험장,2026-10-25,2026-10-25,5,14500,없음,없음,0,14500,신용카드,신용카드,완료,완료,접수완료,접수완료,2026-08-12 14:06,2026-08-12 14:06:00,복지관,기능사,상시CBT,,필기,비전공자,,,,,,,,,,,
국가기술,DN2026500276,박광수,1959-03-24,1959-03-24,남,남,010-4578-7271,010-4578-7271,대학교졸,지게차운전기능사,세종,세종시험장,2026-09-26,2026-09-26,3,14500,기초생활수급자,기초생활수급자,7250,7250,가상계좌,가상계좌,완료,완료,접수완료,접수완료,2026-08-02 11:13,2026-08-02 11:13:00,복지관,기능사,상시CBT,,필기,경력,,,,,,,,,,,
국가기술,DN2026933372,정영수,1955-09-14,1955-09-14,남,남,010-8998-3363,010-8998-3363,중학교졸업,한식조리기능사,광주,광주시험장,2026-10-26,2026-10-26,1,14500,없음,없음,0,14500,신용카드,신용카드,완료,완료,접수완료,접수완료,2026-08-08 17:18,2026-08-08 17:18:00,가족보조,기능사,상시CBT,,필기,비전공자,,,,,,,,,,,
국가기술,DN2026486707,심복남,1945-10-14,1945-10-14,남,남,010-7123-7218,010-7123-7218,고등학교졸업,굴착기운전기능사,충북,청주시험장,2026-11-08,2026-11-08,5,14500,없음,없음,0,14500,신용카드,신용카드,완료,완료,접수완료,접수완료,2026-08-16 17:43,2026-08-16 17:43:00,복지관,기능사,상시CBT,,필기,비전공자,,,,,,,,,,,
국가기술,DN2026196657,권동석,1939-09-02,1939-09-02,남,남,010-5065-9729,010-5065-9729,고등학교졸업,전기기능사,울산,울산시험장,2026-11-14,2026-11-14,2,14500,없음,없음,0,14500,신용카드,신용카드,완료,완료,접수완료,접수완료,2026-08-12 20:04,2026-08-12 20:04:00,복지관,기능사,정기,2,필기,관련학과졸업,,,,,,,,,,,
국가기술,DN2026282661,양춘희,1954-07-18,1954-07-18,여,여,010-5039-8742,010-5039-8742,중학교졸업,한식조리기능사,전북,전주시험장,2026-10-18,2026-10-18,5,14500,없음,없음,0,14500,계좌이체,계좌이체,완료,완료,접수완료,접수완료,2026-08-06 09:04,2026-08-06 09:04:00,복지관,기능사,상시CBT,,필기,경력,,,,,,,,,,,
국가기술,DN2026164294,류삼석,1946-09-27,1946-09-27,남,남,010-7170-6382,010-7170-6382,무학,지게차운전기능사,강원,춘천시험장,2026-11-02,2026-11-02,3,14500,없음,없음,0,14500,계좌이체,계좌이체,완료,완료,접수완료,접수완료,2026-08-19 18:37,2026-08-19 18:37:00,복지관,기능사,상시CBT,,필기,비전공자,,,,,,,,,,,
국가기술,DN2026122974,심인순,1928-02-16,1928-02-16,여,여,010-2801-8402,010-2801-8402,대학원졸,한식조리기능사,제주,제주시험장,2026-11-25,2026-11-25,5,14500,없음,없음,0,14500,가상계좌,가상계좌,완료,완료,접수완료,접수완료,2026-08-02 21:33,2026-08-02 21:33:00,본인단독,기능사,상시CBT,,필기,비전공자,,,,,,,,,,,
국가기술,DN2026208353,손봉숙,1952-05-24,1952-05-24,여,여,010-6087-2577,010-6087-2577,고등학교졸업,한식조리기능사,광주,광주시험장,2026-10-12,2026-10-12,1,14500,없음,없음,0,14500,계좌이체,계좌이체,완료,완료,접수완료,접수완료,2026-08-08 19:51,2026-08-08 19:51:00,본인단독,기능사,상시CBT,,필기,비전공자,,,,,,,,,,,
국가기술,DN2026389199,권운순,1958-07-17,1958-07-17,여,여,010-2101-6652,010-2101-6652,고등학교졸업,한식조리기능사,서울,서울2시험장,2026-10-24,2026-10-24,5,14500,없음,없음,0,14500,가상계좌,가상계좌,환불,환불,취소,취소,2026-08-04 21:02,2026-08-04 21:02:00,복지관,기능사,상시CBT,,필기,관련학과졸업,,,,,,,,,,,
국가기술,DN2026101844,성옥분,1946-12-10,1946-12-10,여,여,010-8160-9544,010-8160-9544,초등학교졸업,전기기능사,경기,수원시험장,2026-09-22,2026-09-22,2,14500,없음,없음,0,14500,신용카드,신용카드,완료,완료,접수완료,접수완료,2026-08-05 22:23,2026-08-05 22:23:00,복지관,기능사,정기,1,필기,경력,,,,,,,,,,,
국가기술,DN2026196054,문삼석,1934-05-27,1934-05-27,남,남,010-9884-5413,010-9884-5413,대학교졸,한식조리기능사,전남,순천시험장,2026-11-25,2026-11-25,1,14500,없음,없음,0,14500,계좌이체,계좌이체,완료,완료,접수완료,접수완료,2026-08-06 18:02,2026-08-06 18:02:00,본인단독,기능사,상시CBT,,필기,경력,,,,,,,,,,,
국가기술,DN2026855782,유만수,1938-09-07,1938-09-07,남,남,010-1014-1779,010-1014-1779,고등학교졸업,한식조리기능사,전북,전주시험장,2026-10-20,2026-10-20,2,14500,없음,없음,0,14500,신용카드,신용카드,완료,완료,접수완료,접수완료,2026-08-03 11:37,2026-08-03 11:37:00,본인단독,기능사,상시CBT,,필기,경력,,,,,,,,,,,
