접수번호,성명,생년월일,성별,연락처,최종학력,자격종목,등급,시험유형,회차,시험구분,응시자격유형,시험지역,시험장,시험일자,교시,수수료,감면유형,감면금액,최종결제금액,결제수단,결제상태,접수상태,접수일시,사용맥락
DN2026283202,민계순,1943-11-27,여,010-9817-8921,고등학교졸업,한식조리기능사,기능사,상시CBT,,필기,비전공자,경북,포항시험장,2026-11-17,5,14500,없음,0,14500,신용카드,대기,결제대기,2026-08-08 22:59:00,본인단독
DN2026372061,안영자,1951-08-19,여,010-5581-5526,고등학교졸업,굴착기운전기능사,기능사,상시CBT,,필기,비전공자,전북,전주시험장,2026-10-06,2,14500,없음,0,14500,신용카드,완료,접수완료,2026-08-14 16:35:00,본인단독
DN2026696213,우순옥,1935-08-26,여,010-8753-9698,고등학교졸업,지게차운전기능사,기능사,상시CBT,,필기,비전공자,서울,서울1시험장,2026-10-23,5,14500,없음,0,14500,신용카드,완료,접수완료,2026-08-15 13:19:00,가족보조
DN2026797136,곽종수,1954-06-04,남,010-5636-2647,대학교졸,한식조리기능사,기능사,상시CBT,,필기,경력,대전,대전시험장,2026-10-09,2,14500,없음,0,14500,신용카드,완료,접수완료,2026-08-10 09:45:00,복지관
DN2026501969,유영수,1963-09-10,남,010-4020-1841,중학교졸업,한식조리기능사,기능사,상시CBT,,필기,경력,광주,광주시험장,2026-09-19,1,14500,없음,0,14500,계좌이체,완료,접수완료,2026-08-13 16:04:00,복지관
DN2026648459,권갑수,1930-05-03,남,010-9561-7232,고등학교졸업,한식조리기능사,기능사,상시CBT,,필기,경력,세종,세종시험장,2026-10-20,3,14500,없음,0,14500,가상계좌,완료,접수완료,2026-08-14 13:36:00,복지관
DN2026078712,한영호,1960-04-21,남,010-7693-8381,전문대졸,지게차운전기능사,기능사,상시CBT,,필기,경력,울산,울산시험장,2026-09-08,3,14500,없음,0,14500,신용카드,완료,접수완료,2026-08-10 20:18:00,복지관
DN2026278536,임옥분,1952-05-26,여,010-1977-3718,전문대졸,한식조리기능사,기능사,상시CBT,,필기,비전공자,울산,울산시험장,2026-09-21,5,14500,없음,0,14500,가상계좌,완료,접수완료,2026-08-15 10:29:00,복지관
DN2026633040,안영숙,1949-09-18,여,010-2496-4750,대학원졸,지게차운전기능사,기능사,상시CBT,,필기,비전공자,경남,창원시험장,2026-09-14,5,14500,없음,0,14500,가상계좌,완료,접수완료,2026-08-09 18:02:00,본인단독
DN2026336654,조미자,1938-05-06,여,010-6403-7744,전문대졸,지게차운전기능사,기능사,상시CBT,,필기,경력,전남,순천시험장,2026-10-12,4,14500,차상위계층,7250,7250,계좌이체,완료,접수완료,2026-08-18 09:29:00,본인단독
DN2026196695,곽순옥,1959-07-28,여,010-9167-8242,전문대졸,한식조리기능사,기능사,상시CBT,,필기,관련학과졸업,제주,제주시험장,2026-11-15,3,14500,없음,0,14500,계좌이체,완료,접수완료,2026-08-10 16:56:00,복지관
DN2026882278,윤봉숙,1928-04-23,여,010-2924-3522,고등학교졸업,한식조리기능사,기능사,상시CBT,,필기,비전공자,대전,대전시험장,2026-11-14,3,14500,없음,0,14500,계좌이체,완료,접수완료,2026-08-09 15:53:00,가족보조
DN2026435099,고계순,1931-03-13,여,010-9318-5377,대학교졸,한식조리기능사,기능사,상시CBT,,필기,경력,울산,울산시험장,2026-10-25,3,14500,기초생활수급자,7250,7250,계좌이체,완료,접수완료,2026-08-19 19:31:00,본인단독
DN2026401575,권운순,1944-06-18,여,010-7730-1715,고등학교졸업,지게차운전기능사,기능사,상시CBT,,필기,경력,전북,전주시험장,2026-09-23,4,14500,국가유공자,7250,7250,신용카드,완료,접수완료,2026-08-05 16:02:00,본인단독
DN2026161860,정금순,1938-02-17,여,010-5342-6546,고등학교졸업,굴착기운전기능사,기능사,상시CBT,,필기,경력,경북,포항시험장,2026-10-28,1,14500,없음,0,14500,가상계좌,완료,접수완료,2026-08-18 15:20:00,복지관
DN2026103226,조봉숙,1964-10-03,여,010-3725-5906,대학교졸,굴착기운전기능사,기능사,상시CBT,,필기,관련학과졸업,세종,세종시험장,2026-11-03,3,14500,차상위계층,7250,7250,계좌이체,완료,접수완료,2026-08-10 14:23:00,가족보조
DN2026716319,황동호,1940-10-22,남,010-3344-4804,고등학교졸업,한식조리기능사,기능사,상시CBT,,필기,경력,대전,대전시험장,2026-11-28,4,14500,없음,0,14500,신용카드,완료,접수완료,2026-08-01 21:29:00,가족보조
DN2026894788,심만수,1944-10-10,남,010-4886-7248,고등학교졸업,한식조리기능사,기능사,상시CBT,,필기,비전공자,전남,순천시험장,2026-10-07,3,14500,없음,0,14500,가상계좌,대기,결제대기,2026-08-10 09:53:00,복지관
