receipt_no,applicant_name,date_of_birth,sex,contact_number,education,qualification,exam_year,exam_stage,is_first_pass,subjects,exam_region,exam_center,test_date,session_no,amount,discount,final_amount,pay_type,pay_status,app_status,registered_at,usage_context
DP2026099705,홍만복,1938/04/14,M,010-6120-5176,고등학교졸업,손해평가사,2026,1차,N,상법(보험편);농어업재해보험법규,경북,포항시험장,2026/10/17,3,30000,DISABLED,30000,CARD,PAID,CONFIRMED,2026/08/03 22:05,본인단독
DP2026916044,허갑순,1943/03/18,F,010-1842-5712,고등학교졸업,공인중개사,2026,1차,N,부동산학개론;민법및민사특별법,충북,청주시험장,2026/10/20,1,13400,NONE,13400,CARD,PAID,CONFIRMED,2026/08/05 19:30,본인단독
DP2026804712,민종수,1931/06/04,M,010-1430-5381,무학,손해평가사,2026,2차,N,농작물재해보험이론과실무;가축재해보험이론과실무,세종,세종시험장,2026/10/19,2,30000,NONE,30000,CARD,PAID,CONFIRMED,2026/08/05 18:42,가족보조
DP2026165056,양광수,1965/02/24,M,010-6314-2391,대학교졸,공인중개사,2026,1차,N,부동산학개론;민법및민사특별법,전북,전주시험장,2026/10/17,1,13400,NONE,13400,CARD,PAID,CONFIRMED,2026/08/03 13:28,가족보조
DP2026297006,우금순,1940/05/07,F,010-9633-6053,무학,손해평가사,2026,2차,Y,농작물재해보험이론과실무;가축재해보험이론과실무,인천,인천시험장,2026/10/24,1,30000,NONE,30000,BANK_TRANSFER,PAID,CONFIRMED,2026/08/07 21:08,가족보조
DP2026737853,권인순,1959/01/16,F,010-6802-2180,고등학교졸업,손해평가사,2026,2차,Y,농작물재해보험이론과실무;가축재해보험이론과실무,대전,대전시험장,2026/10/21,1,30000,NONE,30000,CARD,PAID,CONFIRMED,2026/08/11 18:27,가족보조
DP2026964449,양옥분,1959/07/01,F,010-8155-2734,중학교졸업,손해평가사,2026,2차,Y,농작물재해보험이론과실무;가축재해보험이론과실무,대전,대전시험장,2026/10/23,1,30000,NONE,30000,BANK_TRANSFER,PAID,CONFIRMED,2026/08/11 12:21,본인단독
DP2026858730,임상원,1933/09/07,M,010-2684-3399,중학교졸업,공인중개사,2026,2차,N,공인중개사법;부동산공법;부동산공시법;부동산세법,충남,천안시험장,2026/10/17,3,15200,NONE,15200,VIRTUAL_ACCOUNT,PAID,CONFIRMED,2026/08/16 16:48,가족보조
DP2026369039,하옥분,1957/08/03,F,010-6085-8565,고등학교졸업,손해평가사,2026,1차,N,상법(보험편);농어업재해보험법규,강원,춘천시험장,2026/10/15,2,30000,NONE,30000,CARD,PAID,CONFIRMED,2026/08/03 18:38,가족보조
DP2026472408,조계순,1938/10/21,F,010-6626-2381,고등학교졸업,공인중개사,2026,1차,N,부동산학개론;민법및민사특별법,경남,창원시험장,2026/10/17,1,13400,NONE,13400,BANK_TRANSFER,PENDING,PENDING,2026/08/15 17:33,본인단독
